<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.16	15:59:00	87898.8	87990.29	87858.92	87956.47	163	0	1260
2025.12.16	16:00:00	87953.36	87973.05	87822.37	87830.57	189	0	1260
2025.12.16	16:01:00	87825.21	87918.59	87815.77	87864.29	222	0	1260
2025.12.16	16:02:00	87859.38	87859.38	87772.16	87772.16	199	0	1260
2025.12.16	16:03:00	87772.56	87867.55	87772.56	87785.31	199	0	1260
2025.12.16	16:04:00	87785.16	87818.48	87664.45	87690.75	190	0	1260
2025.12.16	16:05:00	87686.93	87773.08	87647.05	87707.71	191	0	1260
2025.12.16	16:06:00	87704.33	87820.98	87644.64	87807.85	208	0	1260
2025.12.16	16:07:00	87805.19	87830.35	87717.89	87717.89	161	0	1260
2025.12.16	16:08:00	87719.65	87756.43	87641.44	87682.51	156	0	1260
2025.12.16	16:09:00	87677.16	87812.48	87633.25	87760.94	183	0	1260
2025.12.16	16:10:00	87757.07	87865.39	87721.42	87847.72	172	0	1260
2025.12.16	16:11:00	87844.21	87844.21	87672.46	87688.73	174	0	1260
2025.12.16	16:12:00	87689.1	87737.0	87649.19	87650.57	121	0	1260
2025.12.16	16:13:00	87642.1	87711.29	87589.89	87699.35	149	0	1260
2025.12.16	16:14:00	87696.08	87743.43	87689.33	87724.92	103	0	1260
2025.12.16	16:15:00	87724.39	87754.29	87613.08	87623.54	171	0	1260
2025.12.16	16:16:00	87629.36	87652.15	87539.58	87539.58	150	0	1260
2025.12.16	16:17:00	87542.29	87694.18	87498.95	87628.81	172	0	1260
2025.12.16	16:18:00	87625.77	87810.3	87576.01	87788.98	178	0	1260
2025.12.16	16:19:00	87796.52	87804.91	87685.63	87723.47	182	0	1260
2025.12.16	16:20:00	87725.12	87771.32	87671.81	87753.25	134	0	1260
2025.12.16	16:21:00	87756.01	87905.48	87751.43	87905.48	146	0	1260
2025.12.16	16:22:00	87911.07	88037.88	87863.16	87863.16	178	0	1260
2025.12.16	16:23:00	87857.1	87931.01	87776.59	87801.23	133	0	1260
2025.12.16	16:24:00	87803.56	87946.71	87766.59	87946.71	118	0	1260
2025.12.16	16:25:00	87947.94	88006.77	87886.33	87997.38	131	0	1260
2025.12.16	16:26:00	87997.34	88019.3	87949.92	88019.3	120	0	1260
2025.12.16	16:27:00	88015.66	88023.19	87899.7	87963.33	144	0	1260
2025.12.16	16:28:00	87962.35	87981.56	87869.67	87891.99	119	0	1260
2025.12.16	16:29:00	87887.37	87887.37	87795.36	87829.63	85	0	1260
2025.12.16	16:30:00	87831.71	87835.23	87702.55	87731.45	138	0	1260
2025.12.16	16:31:00	87726.86	87810.54	87726.86	87810.03	118	0	1260
2025.12.16	16:32:00	87809.94	87906.13	87749.17	87749.17	164	0	1260
2025.12.16	16:33:00	87749.91	87805.63	87712.9	87724.43	145	0	1260
2025.12.16	16:34:00	87725.37	87725.37	87628.21	87650.39	112	0	1260
2025.12.16	16:35:00	87652.86	87719.18	87627.91	87630.7	132	0	1260
2025.12.16	16:36:00	87628.4	87629.05	87521.28	87563.54	142	0	1260
2025.12.16	16:37:00	87576.91	87683.17	87553.95	87683.17	128	0	1260
2025.12.16	16:38:00	87677.17	87710.6	87620.07	87634.39	120	0	1260
2025.12.16	16:39:00	87631.42	87666.46	87539.29	87542.25	144	0	1260
2025.12.16	16:40:00	87541.95	87585.84	87374.96	87402.36	179	0	1260
2025.12.16	16:41:00	87398.91	87455.93	87363.46	87442.22	132	0	1260
2025.12.16	16:42:00	87442.68	87472.05	87399.04	87432.45	129	0	1260
2025.12.16	16:43:00	87434.04	87477.2	87396.94	87466.0	103	0	1260
2025.12.16	16:44:00	87468.74	87546.88	87468.74	87517.98	105	0	1260
2025.12.16	16:45:00	87508.56	87568.78	87464.6	87464.6	111	0	1260
2025.12.16	16:46:00	87467.84	87613.36	87467.84	87550.93	145	0	1260
2025.12.16	16:47:00	87551.27	87562.81	87430.75	87481.86	116	0	1260
2025.12.16	16:48:00	87482.7	87535.29	87482.7	87516.4	107	0	1260
2025.12.16	16:49:00	87519.35	87567.19	87483.72	87551.37	113	0	1260
2025.12.16	16:50:00	87565.84	87730.99	87551.92	87698.51	158	0	1260
2025.12.16	16:51:00	87697.34	87748.7	87550.49	87550.49	109	0	1260
2025.12.16	16:52:00	87547.63	87664.32	87547.63	87649.18	97	0	1260
2025.12.16	16:53:00	87648.32	87658.47	87568.43	87658.47	93	0	1260
2025.12.16	16:54:00	87669.46	87669.46	87586.91	87634.81	101	0	1260
2025.12.16	16:55:00	87635.15	87640.84	87557.34	87604.81	80	0	1260
2025.12.16	16:56:00	87607.13	87651.43	87568.71	87640.69	81	0	1260
2025.12.16	16:57:00	87634.2	87683.93	87600.5	87662.74	77	0	1260
2025.12.16	16:58:00	87663.54	87667.93	87585.44	87585.44	55	0	1260
2025.12.16	16:59:00	87585.47	87636.24	87564.19	87564.19	51	0	1260
2025.12.16	17:00:00	87560.49	87605.24	87532.0	87540.52	98	0	1260
2025.12.16	17:01:00	87537.58	87667.89	87489.42	87644.79	109	0	1260
2025.12.16	17:02:00	87641.75	87747.96	87638.46	87747.96	87	0	1260
2025.12.16	17:03:00	87748.13	87770.9	87701.17	87748.95	77	0	1260
2025.12.16	17:04:00	87746.66	87746.66	87652.67	87682.87	94	0	1260
2025.12.16	17:05:00	87682.25	87725.27	87647.01	87663.04	125	0	1260
2025.12.16	17:06:00	87660.48	87793.9	87650.86	87764.09	142	0	1260
2025.12.16	17:07:00	87762.23	87788.88	87725.14	87729.47	69	0	1260
2025.12.16	17:08:00	87729.38	87779.68	87720.02	87741.97	82	0	1260
2025.12.16	17:09:00	87746.17	87747.7	87682.98	87700.85	90	0	1260
2025.12.16	17:10:00	87700.18	87700.18	87588.68	87674.39	94	0	1260
2025.12.16	17:11:00	87677.6	87793.83	87640.68	87780.08	94	0	1260
2025.12.16	17:12:00	87771.72	87826.25	87718.97	87723.08	88	0	1260
2025.12.16	17:13:00	87720.85	87743.19	87666.33	87691.75	76	0	1260
2025.12.16	17:14:00	87688.42	87766.35	87672.46	87744.39	80	0	1260
2025.12.16	17:15:00	87756.06	87832.16	87747.84	87788.95	84	0	1260
2025.12.16	17:16:00	87787.07	87813.81	87735.06	87758.06	81	0	1260
2025.12.16	17:17:00	87757.67	87780.85	87708.56	87780.85	78	0	1260
2025.12.16	17:18:00	87778.44	87778.44	87702.61	87702.61	89	0	1260
2025.12.16	17:19:00	87704.4	87755.82	87687.26	87707.31	88	0	1260
2025.12.16	17:20:00	87703.51	87714.21	87613.44	87648.59	117	0	1260
2025.12.16	17:21:00	87648.8	87669.57	87619.03	87641.5	89	0	1260
2025.12.16	17:22:00	87644.59	87659.7	87534.66	87534.66	84	0	1260
2025.12.16	17:23:00	87528.21	87616.37	87528.21	87545.5	78	0	1260
2025.12.16	17:24:00	87546.98	87546.98	87433.73	87478.82	99	0	1260
2025.12.16	17:25:00	87477.28	87484.45	87355.18	87355.18	108	0	1260
2025.12.16	17:26:00	87357.62	87416.4	87331.46	87368.49	125	0	1260
2025.12.16	17:27:00	87364.88	87364.88	87243.29	87299.99	124	0	1260
2025.12.16	17:28:00	87306.47	87364.81	87290.95	87310.84	109	0	1260
2025.12.16	17:29:00	87308.84	87346.83	87298.94	87324.83	69	0	1260
2025.12.16	17:30:00	87321.41	87449.04	87315.23	87396.85	140	0	1260
2025.12.16	17:31:00	87399.69	87441.75	87344.86	87344.86	112	0	1260
2025.12.16	17:32:00	87341.76	87409.75	87334.73	87363.91	79	0	1260
2025.12.16	17:33:00	87363.03	87400.13	87300.42	87365.79	97	0	1260
2025.12.16	17:34:00	87366.62	87400.11	87348.24	87378.84	65	0	1260
2025.12.16	17:35:00	87383.4	87490.71	87370.08	87489.29	115	0	1260
2025.12.16	17:36:00	87485.0	87485.0	87357.26	87357.52	81	0	1260
2025.12.16	17:37:00	87353.88	87386.22	87294.33	87294.33	68	0	1260
2025.12.16	17:38:00	87286.35	87293.64	87249.73	87263.64	73	0	1260
2025.12.16	17:39:00	87269.86	87303.06	87247.63	87273.56	74	0	1260
2025.12.16	17:40:00	87272.42	87296.18	87245.2	87262.36	74	0	1260
2025.12.16	17:41:00	87260.32	87267.65	87231.87	87250.83	64	0	1260
2025.12.16	17:42:00	87251.83	87272.9	87236.08	87268.42	45	0	1260
2025.12.16	17:43:00	87269.12	87282.63	87123.43	87147.25	108	0	1260
2025.12.16	17:44:00	87153.54	87230.05	87109.26	87207.68	93	0	1260
2025.12.16	17:45:00	87213.95	87242.06	87183.83	87196.24	91	0	1260
2025.12.16	17:46:00	87195.68	87259.64	87172.8	87177.5	82	0	1260
2025.12.16	17:47:00	87174.54	87201.15	87132.14	87193.17	63	0	1260
2025.12.16	17:48:00	87194.04	87198.09	87136.32	87144.69	60	0	1260
2025.12.16	17:49:00	87157.53	87199.29	87157.53	87198.05	44	0	1260
2025.12.16	17:50:00	87188.59	87198.04	87158.84	87165.1	41	0	1260
2025.12.16	17:51:00	87166.03	87192.87	87137.19	87166.69	62	0	1260
2025.12.16	17:52:00	87170.65	87254.88	87166.27	87236.77	77	0	1260
2025.12.16	17:53:00	87234.42	87234.42	87184.75	87194.09	75	0	1260
2025.12.16	17:54:00	87194.23	87218.79	87181.6	87193.49	51	0	1260
2025.12.16	17:55:00	87195.86	87243.66	87195.86	87203.56	57	0	1260
2025.12.16	17:56:00	87208.4	87222.75	87136.61	87160.74	54	0	1260
2025.12.16	17:57:00	87158.15	87172.29	87131.1	87157.77	49	0	1260
2025.12.16	17:58:00	87160.11	87213.59	87097.22	87152.98	109	0	1260
2025.12.16	17:59:00	87155.2	87155.2	87068.77	87108.98	85	0	1260
2025.12.16	18:00:00	87115.5	87153.58	87051.99	87056.51	85	0	1260
2025.12.16	18:01:00	87056.93	87107.8	87036.83	87083.05	76	0	1260
2025.12.16	18:02:00	87081.21	87142.05	87049.09	87126.23	92	0	1260
2025.12.16	18:03:00	87123.67	87215.16	87056.15	87201.15	221	0	1260
2025.12.16	18:04:00	87203.75	87405.79	87196.23	87366.82	184	0	1260
2025.12.16	18:05:00	87366.61	87418.09	87330.77	87382.17	150	0	1260
2025.12.16	18:06:00	87382.29	87402.15	87333.9	87361.25	132	0	1260
2025.12.16	18:07:00	87360.07	87503.83	87336.27	87478.27	118	0	1260
2025.12.16	18:08:00	87473.94	87499.04	87415.93	87447.11	93	0	1260
2025.12.16	18:09:00	87447.57	87447.57	87406.93	87438.91	70	0	1260
2025.12.16	18:10:00	87438.26	87501.02	87407.16	87465.59	80	0	1260
2025.12.16	18:11:00	87464.55	87480.88	87420.13	87422.95	78	0	1260
2025.12.16	18:12:00	87420.63	87432.51	87357.81	87427.77	78	0	1260
2025.12.16	18:13:00	87426.9	87523.12	87426.9	87513.05	56	0	1260
2025.12.16	18:14:00	87504.94	87532.14	87445.0	87467.36	74	0	1260
2025.12.16	18:15:00	87466.85	87520.26	87443.48	87495.75	49	0	1260
2025.12.16	18:16:00	87496.73	87496.73	87439.0	87460.1	47	0	1260
2025.12.16	18:17:00	87460.21	87483.21	87394.91	87405.45	70	0	1260
2025.12.16	18:18:00	87400.21	87400.21	87324.19	87378.8	69	0	1260
2025.12.16	18:19:00	87380.39	87407.02	87323.62	87323.62	47	0	1260
2025.12.16	18:20:00	87330.55	87366.5	87294.53	87310.29	78	0	1260
2025.12.16	18:21:00	87308.92	87332.99	87251.3	87325.09	78	0	1260
2025.12.16	18:22:00	87327.56	87331.63	87276.84	87290.27	67	0	1260
2025.12.16	18:23:00	87292.87	87354.55	87292.4	87354.55	45	0	1260
2025.12.16	18:24:00	87357.59	87436.11	87342.75	87403.52	83	0	1260
2025.12.16	18:25:00	87404.82	87461.54	87399.27	87443.98	48	0	1260
2025.12.16	18:26:00	87447.64	87472.39	87373.55	87373.7	73	0	1260
2025.12.16	18:27:00	87375.24	87400.92	87361.69	87368.98	46	0	1260
2025.12.16	18:28:00	87370.76	87417.09	87350.77	87350.77	56	0	1260
2025.12.16	18:29:00	87361.5	87389.48	87361.5	87383.19	31	0	1260
2025.12.16	18:30:00	87387.68	87475.06	87387.68	87475.06	55	0	1260
2025.12.16	18:31:00	87472.11	87673.55	87472.11	87645.82	135	0	1260
2025.12.16	18:32:00	87647.13	87730.25	87614.43	87692.88	141	0	1260
2025.12.16	18:33:00	87696.8	87725.76	87653.18	87725.57	63	0	1260
2025.12.16	18:34:00	87729.11	87750.44	87685.04	87685.04	63	0	1260
2025.12.16	18:35:00	87685.16	87719.62	87639.93	87686.56	65	0	1260
2025.12.16	18:36:00	87688.9	87748.57	87662.63	87692.74	81	0	1260
2025.12.16	18:37:00	87696.19	87738.51	87638.63	87652.9	81	0	1260
2025.12.16	18:38:00	87654.25	87660.48	87572.74	87605.73	69	0	1260
2025.12.16	18:39:00	87601.2	87791.15	87587.49	87771.52	115	0	1260
2025.12.16	18:40:00	87769.02	87846.12	87769.02	87797.53	58	0	1260
