<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.04.24	1932.342	1934.473	1872.040	1896.758	682548	0	0
2022.05.01	1899.427	1909.770	1850.380	1883.668	618973	0	0
2022.05.08	1883.599	1885.735	1799.060	1811.528	690681	0	0
2022.05.15	1813.980	1849.440	1786.840	1846.524	527704	0	0
2022.05.22	1849.013	1869.670	1840.780	1853.061	406167	0	0
2022.05.29	1852.656	1874.090	1828.500	1850.997	363747	0	0
2022.06.05	1850.993	1876.000	1825.130	1871.570	398686	0	0
2022.06.12	1878.107	1878.929	1805.170	1840.286	651818	0	0
2022.06.19	1836.234	1847.930	1816.920	1827.137	452000	0	0
2022.06.26	1836.305	1841.030	1784.450	1809.379	490030	0	0
2022.07.03	1810.380	1814.260	1732.250	1742.286	489500	0	0
2022.07.10	1741.156	1745.420	1697.610	1707.477	580745	0	0
2022.07.17	1706.609	1739.310	1680.840	1727.506	520450	0	0
2022.07.24	1726.287	1767.930	1711.520	1766.216	550495	0	0
2022.07.31	1765.393	1794.950	1754.340	1775.666	533870	0	0
2022.08.07	1773.406	1807.870	1771.190	1801.959	490986	0	0
2022.08.14	1801.543	1801.803	1745.540	1747.414	519608	0	0
2022.08.21	1745.624	1765.500	1727.770	1738.036	540609	0	0
2022.08.28	1734.811	1745.520	1688.800	1712.570	589562	0	0
2022.09.04	1711.099	1729.410	1691.270	1717.223	561180	0	0
2022.09.11	1718.440	1735.130	1654.160	1675.324	607439	0	0
2022.09.18	1674.449	1688.030	1639.750	1643.914	661438	0	0
2022.09.25	1643.209	1675.360	1614.810	1661.000	822979	0	0
2022.10.02	1664.046	1729.490	1659.720	1695.038	695108	0	0
2022.10.09	1696.274	1699.894	1640.190	1644.304	712629	0	0
2022.10.16	1646.200	1668.460	1617.290	1657.844	711882	0	0
2022.10.23	1660.012	1674.930	1638.050	1644.666	785632	0	0
2022.10.30	1643.764	1681.720	1616.720	1681.003	733112	0	0
2022.11.06	1675.205	1772.897	1664.710	1771.134	732239	0	0
2022.11.13	1763.525	1786.570	1747.550	1750.890	819971	0	0
2022.11.20	1751.450	1761.240	1727.310	1756.090	611267	0	0
2022.11.27	1753.120	1804.520	1739.630	1797.983	815421	0	0
2022.12.04	1795.030	1810.010	1765.850	1797.493	713607	0	40
2022.12.11	1796.130	1824.520	1773.750	1793.100	778513	0	0
2022.12.18	1792.250	1823.840	1783.790	1798.506	698470	0	10
2022.12.25	1800.600	1833.630	1797.040	1823.547	429171	0	10
2023.01.01	1827.530	1869.870	1823.520	1866.026	598751	0	0
2023.01.08	1866.300	1921.890	1866.280	1920.288	730837	0	30
2023.01.15	1921.910	1937.540	1896.590	1925.954	711624	0	10
2023.01.22	1924.210	1949.090	1911.400	1928.302	707922	0	30
2023.01.29	1926.750	1959.680	1861.440	1865.742	862099	0	30
2023.02.05	1864.250	1890.310	1852.800	1865.352	708861	0	10
2023.02.12	1863.960	1870.660	1818.900	1842.537	662604	0	30
2023.02.19	1841.200	1847.480	1808.930	1810.815	596478	0	40
2023.02.26	1811.960	1856.320	1804.690	1855.302	593581	0	40
2023.03.05	1853.730	1870.180	1809.410	1867.146	695015	0	0
2023.03.12	1893.720	1988.348	1871.550	1988.166	1045640	0	0
2023.03.19	1985.880	2009.800	1934.280	1978.814	910281	0	0
2023.03.26	1976.250	1987.630	1944.040	1969.414	611188	0	20
2023.04.02	1966.260	2032.260	1949.760	2007.798	549286	0	30
2023.04.09	1997.880	2048.670	1981.720	2004.290	719983	0	10
2023.04.16	2001.000	2015.050	1969.180	1982.924	733047	0	0
2023.04.23	1982.230	2009.430	1974.130	1989.414	824571	0	20
2023.04.30	1989.840	2080.004	1977.090	2016.687	868536	0	10
2023.05.07	2016.140	2048.180	2000.890	2010.949	722497	0	10
2023.05.14	2008.450	2022.210	1951.980	1977.741	627865	0	30
2023.05.21	1978.080	1985.290	1936.760	1946.871	637913	0	20
2023.05.28	1942.990	1983.480	1932.050	1948.029	568979	0	0
2023.06.04	1947.430	1973.100	1938.130	1960.678	577625	0	40
2023.06.11	1959.610	1971.130	1925.890	1957.478	635830	0	40
2023.06.18	1958.320	1958.760	1909.990	1921.229	537905	0	0
2023.06.25	1922.830	1933.360	1892.950	1919.371	714698	0	10
2023.07.02	1918.540	1935.050	1902.590	1925.377	625452	0	20
2023.07.09	1925.100	1963.780	1912.690	1955.261	783708	0	30
2023.07.16	1954.830	1987.430	1945.770	1961.888	711494	0	20
2023.07.23	1962.150	1982.230	1942.570	1959.221	731240	0	10
2023.07.30	1959.690	1972.390	1925.530	1942.521	676576	0	10
2023.08.06	1942.320	1946.720	1910.770	1913.823	566510	0	20
2023.08.13	1913.770	1916.240	1885.040	1889.566	618657	0	0
2023.08.20	1889.270	1923.400	1884.810	1914.358	624046	0	0
2023.08.27	1915.660	1953.020	1912.770	1939.741	580023	0	0
2023.09.03	1940.030	1946.280	1915.310	1919.011	480018	0	30
2023.09.10	1919.640	1930.770	1901.020	1923.868	607094	0	0
2023.09.17	1923.910	1947.420	1913.900	1925.269	565046	0	20
2023.09.24	1926.040	1927.220	1846.330	1848.833	598498	0	0
2023.10.01	1847.390	1848.930	1810.470	1831.937	892982	0	20
2023.10.08	1854.300	1932.630	1844.230	1932.254	958470	0	20
2023.10.15	1927.120	1997.210	1908.200	1980.788	918537	0	20
2023.10.22	1974.010	2009.470	1953.490	2006.086	876496	0	40
2023.10.29	2003.350	2007.930	1969.880	1992.554	875533	0	30
2023.11.05	1991.440	1993.160	1933.060	1938.391	801043	0	40
2023.11.12	1940.520	1993.360	1931.600	1980.673	683734	0	50
2023.11.19	1977.450	2007.530	1965.400	2002.260	557718	0	50
2023.11.26	2000.890	2075.360	2000.380	2071.624	408141	0	50
2023.12.03	2074.030	2134.570	1994.580	2004.377	365193	0	50
