<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.07.21	1.12129	1.12193	1.12128	1.12175	3028	0	2
2019.07.22	1.12175	1.12252	1.12037	1.12041	37598	0	2
2019.07.23	1.12041	1.12079	1.11458	1.11507	36176	0	2
2019.07.24	1.11507	1.11557	1.11269	1.11419	37081	0	2
2019.07.25	1.11419	1.11877	1.11013	1.11447	56472	0	2
2019.07.26	1.11447	1.11509	1.11118	1.11270	35009	0	2
2019.07.28	1.11231	1.11325	1.11219	1.11294	1691	0	2
2019.07.29	1.11294	1.11509	1.11129	1.11423	30402	0	2
2019.07.30	1.11424	1.11609	1.11321	1.11568	41788	0	2
2019.07.31	1.11568	1.11620	1.10601	1.10714	67279	0	2
2019.08.01	1.10714	1.10957	1.10269	1.10789	89194	0	2
2019.08.02	1.10789	1.11163	1.10699	1.11050	89546	0	2
2019.08.04	1.11052	1.11138	1.11027	1.11077	4221	0	2
2019.08.05	1.11078	1.12450	1.11065	1.12419	88530	0	2
2019.08.06	1.12419	1.12495	1.11673	1.12054	77158	0	2
2019.08.07	1.12054	1.12419	1.11790	1.12040	100651	0	2
2019.08.08	1.12040	1.12327	1.11768	1.11860	67920	0	2
2019.08.09	1.11860	1.12229	1.11833	1.11998	50203	0	2
2019.08.11	1.11984	1.12080	1.11973	1.12073	3180	0	2
2019.08.12	1.12073	1.12306	1.11619	1.12161	59063	0	2
2019.08.13	1.12161	1.12286	1.11698	1.11764	74614	0	2
2019.08.14	1.11764	1.11907	1.11305	1.11427	72714	0	2
2019.08.15	1.11427	1.11584	1.10914	1.11103	93252	0	1
2019.08.16	1.11103	1.11113	1.10663	1.10893	48086	0	2
2019.08.18	1.10911	1.11011	1.10895	1.10920	7662	0	2
2019.08.19	1.10919	1.11137	1.10760	1.10815	37899	0	2
2019.08.20	1.10815	1.11067	1.10654	1.10971	60187	0	2
2019.08.21	1.10971	1.11070	1.10800	1.10902	38869	0	1
2019.08.22	1.10902	1.11131	1.10635	1.10836	57301	0	2
2019.08.23	1.10836	1.11531	1.10515	1.11386	71773	0	2
2019.08.25	1.11462	1.11639	1.11404	1.11434	9926	0	2
2019.08.26	1.11434	1.11528	1.10942	1.11014	103281	0	2
2019.08.27	1.11014	1.11158	1.10856	1.10895	68166	0	1
2019.08.28	1.10897	1.10978	1.10732	1.10853	68724	0	1
2019.08.29	1.10855	1.10932	1.10420	1.10590	66175	0	1
2019.08.30	1.10590	1.10598	1.09630	1.09893	66096	0	1
2019.09.01	1.09871	1.09965	1.09827	1.09904	4561	0	1
2019.09.02	1.09901	1.09931	1.09579	1.09642	46096	0	1
2019.09.03	1.09642	1.09787	1.09257	1.09726	76574	0	1
2019.09.04	1.09724	1.10383	1.09716	1.10347	62677	0	1
2019.09.05	1.10347	1.10846	1.10167	1.10340	72482	0	1
2019.09.06	1.10339	1.10571	1.10202	1.10245	61011	0	1
2019.09.08	1.10250	1.10274	1.10182	1.10202	4255	0	2
2019.09.09	1.10202	1.10680	1.10154	1.10469	48473	0	1
2019.09.10	1.10469	1.10593	1.10304	1.10501	40870	0	1
2019.09.11	1.10502	1.10555	1.09851	1.10134	38051	0	1
