<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.24	64014.89	71670.62	63786.79	69649.64	1217864	0	1625
2024.03.31	69608.72	71370.97	64533.45	68903.13	1208429	0	3162
2024.04.07	68891.67	72705.66	61471.23	63870.93	1178894	0	2681
2024.04.14	64033.91	66878.18	59551.69	64968.02	1312614	0	2171
2024.04.21	64976.07	67264.56	62357.63	63445.50	844254	0	2060
2024.04.28	63437.44	64728.06	56561.61	63911.53	997227	0	1288
2024.05.05	63900.22	65505.34	60171.98	60827.50	951722	0	1271
2024.05.12	60830.04	67503.22	60580.07	66902.76	935986	0	1286
2024.05.19	66892.43	71910.81	65817.96	69320.98	959406	0	1431
2024.05.26	69321.52	70613.40	66582.14	67703.24	1268580	0	1791
2024.06.02	67710.53	71926.80	67241.09	69316.38	873677	0	1507
2024.06.09	69319.05	70192.47	65009.34	66182.44	898326	0	1663
2024.06.16	66174.66	67259.02	63364.53	64222.05	885427	0	1875
2024.06.23	64227.94	64489.79	58462.65	60934.04	901103	0	1890
2024.06.30	60935.23	63850.35	53542.14	58277.25	1101402	0	1432
2024.07.07	58275.44	59907.28	54294.09	59248.24	1131459	0	1381
2024.07.14	59240.25	67656.11	59230.26	67112.61	1410309	0	1250
2024.07.21	67117.96	69415.72	63416.17	67891.87	1443595	0	1250
2024.07.28	67897.53	70048.68	59790.24	60679.07	1600866	0	1250
2024.08.04	60679.06	62804.36	48945.31	60933.37	2816616	0	1250
2024.08.11	60933.38	62002.52	55985.92	59534.09	2031831	0	1306
2024.08.18	59534.10	65103.51	57835.43	64200.98	1724293	0	1330
2024.08.25	64200.97	65234.88	57696.72	59024.10	1692035	0	1350
2024.09.01	59020.01	59872.31	52553.54	54188.47	1822317	0	1356
2024.09.08	54188.58	60678.50	53655.69	60027.36	1756992	0	1246
2024.09.15	60027.40	64152.90	57499.45	63345.82	1674321	0	1246
2024.09.22	63345.82	66515.51	62373.92	65875.08	1416513	0	1389
2024.09.29	65874.70	66109.57	59834.74	62030.56	1637485	0	1322
2024.10.06	62030.56	64479.33	58861.34	63228.39	1541408	0	1246
2024.10.13	63228.36	69005.02	62064.03	68352.21	1699999	0	1246
2024.10.20	68355.70	69501.19	65151.29	67006.52	1623965	0	1267
2024.10.27	67006.53	73629.91	66820.39	69301.12	1729995	0	1246
2024.11.03	69301.12	77251.73	66810.72	76668.21	2131530	0	1246
2024.11.10	76668.21	93492.75	76486.22	90549.89	2871073	0	1246
2024.11.17	90577.45	99733.12	88653.81	97718.95	2346399	0	1246
2024.11.24	97718.98	98964.04	90690.54	96494.80	2297299	0	1246
2024.12.01	96494.79	104323.36	90803.00	99903.90	2305186	0	1246
2024.12.08	99903.79	102627.07	94000.38	101400.29	2249344	0	1246
2024.12.15	101400.28	108329.52	92116.61	97241.52	2504950	0	2016
2024.12.22	97242.78	99936.32	92375.96	95190.92	2214090	0	2016
2024.12.29	95190.95	98955.30	91286.97	98195.05	2023197	0	2016
2025.01.05	98195.04	102782.35	91124.88	94569.73	2255493	0	2016
2025.01.12	94569.71	105892.95	88994.28	104470.65	2342124	0	2016
2025.01.19	104470.63	109879.73	99401.28	104703.29	2670124	0	2016
2025.01.26	104703.29	106494.31	97658.81	100596.50	3130377	0	2016
2025.02.02	100596.24	102567.83	91081.59	96533.14	3655049	0	2016
2025.02.09	96534.10	98794.92	94079.77	97531.24	3512623	0	2016
2025.02.16	97531.19	99485.38	93320.60	96622.62	3570569	0	2016
2025.02.23	96622.02	96736.48	78216.44	86086.80	3865871	0	2016
2025.03.02	86085.86	95157.70	81473.07	86240.77	4046381	0	2016
2025.03.09	86240.75	86532.65	76590.80	84348.70	3900014	0	1610
2025.03.16	84347.26	87558.72	81147.71	83851.87	3683449	0	2016
2025.03.23	83851.64	88801.43	81644.27	82665.15	3700001	0	2016
2025.03.30	82665.02	88520.84	81113.94	83532.50	3824712	0	2016
2025.04.06	83539.79	85973.50	74364.56	85265.02	4085877	0	2016
2025.04.13	85266.83	86500.74	82980.57	85053.41	3624291	0	2016
2025.04.20	85051.10	95896.31	83877.21	94628.59	3717585	0	2016
2025.04.27	94630.55	97899.26	92766.86	95875.05	3666051	0	2016
2025.05.04	95877.29	104988.16	93325.02	104762.44	3902616	0	2016
2025.05.11	104760.78	105843.15	100677.38	103153.11	3808456	0	2016
2025.05.18	103143.72	111913.38	102023.70	107669.06	3797566	0	2016
2025.05.25	107670.64	110690.73	103052.24	104618.09	3768872	0	2030
2025.06.01	104617.38	106888.71	100371.10	105662.29	3780751	0	1512
2025.06.08	105661.91	110774.61	102656.51	105485.48	3794340	0	1512
2025.06.15	105486.45	109038.36	100809.05	102073.13	3784187	0	1512
2025.06.22	102079.87	108353.92	98234.96	107365.06	3787900	0	1512
2025.06.29	107365.47	110590.85	105199.08	108269.69	3807165	0	1512
2025.07.06	108270.36	118902.93	107464.37	117385.04	4040545	0	1512
2025.07.13	117384.29	123257.86	115615.77	117859.51	4134977	0	1512
2025.07.20	117858.15	120342.86	114723.13	117949.24	4195377	0	1512
2025.07.27	117960.45	119861.17	111958.14	112570.73	3906237	0	1512
2025.08.03	112569.85	117944.67	111912.57	116434.63	3805800	0	1512
2025.08.10	116434.71	124563.72	116413.98	117450.39	3131497	0	1512
2025.08.17	117448.94	118634.82	111645.61	115378.48	2613900	0	1512
2025.08.24	115378.50	115631.29	107330.39	108816.00	3348034	0	785
2025.08.31	108816.06	113403.94	107250.42	110220.30	3210125	0	1512
2025.09.07	110220.06	116805.93	110198.29	115970.03	3061055	0	1260
2025.09.14	115970.22	117996.19	114407.01	115743.09	3069058	0	1260
2025.09.21	115742.70	115903.15	108646.51	109676.49	3146494	0	1260
2025.09.28	109676.58	124002.95	109226.45	122454.52	2975829	0	1260
2025.10.05	122453.57	126304.89	103600.59	110769.11	917537	0	1260
2025.10.12	110775.99	116077.21	103508.84	107208.19	761381	0	1260
2025.10.19	107207.57	114082.97	106117.93	111656.92	545078	0	1260
2025.10.26	111657.29	116414.60	106242.43	110045.26	527522	0	1260
2025.11.02	110044.67	111198.12	98882.89	102284.86	832686	0	1260
2025.11.09	102285.55	107476.29	93913.26	95538.81	778439	0	1260
2025.11.16	95541.97	96553.52	80538.63	84683.30	1096828	0	1260
2025.11.23	84679.87	93120.62	84616.41	90830.49	578955	0	1260
2025.11.30	90830.55	94221.16	83798.40	89234.91	682111	0	1260
2025.12.07	89261.49	94608.86	87732.92	90259.04	643481	0	1260
2025.12.14	90252.92	90498.56	84396.34	88318.84	725064	0	1260
2025.12.21	88319.03	90576.92	86355.17	87825.91	465785	0	1260
2025.12.28	87801.58	90945.42	86684.08	90584.95	403781	0	1260
2026.01.04	90583.99	94817.88	89179.85	90391.29	506773	0	1260
2026.01.11	90391.12	97971.19	90000.98	95121.39	470435	0	1260
2026.01.18	95121.25	95499.05	87170.42	89095.50	488136	0	1260
2026.01.25	89095.30	90495.81	75483.22	78633.67	707957	0	1260
2026.02.01	78657.47	79352.25	59783.75	69241.82	1679225	0	1260
2026.02.08	69244.94	72257.52	65062.28	69795.33	923007	0	1260
2026.02.15	69795.94	70939.81	65595.96	67957.64	614702	0	1260
2026.02.22	67952.98	70055.39	62409.68	66972.67	749342	0	1260
2026.03.01	66962.02	74126.00	65020.89	67268.56	944206	0	1260
2026.03.08	67265.64	73942.68	65611.58	71215.87	744001	0	1260
2026.03.15	71221.84	76015.87	68540.13	68908.11	624558	0	980
2026.03.22	68921.53	72043.00	65482.43	66322.78	684257	0	980
2026.03.29	66321.84	69292.67	64927.89	67292.80	552242	0	980
2026.04.05	67298.22	73849.85	66589.99	73086.76	522675	0	980
2026.04.12	73086.23	78405.29	70506.19	75732.42	551713	0	980
2026.04.19	75732.08	79521.73	73728.96	77640.06	532656	0	980
2026.04.26	77641.67	79513.01	74879.42	78680.80	402009	0	980
2026.05.03	78686.45	82844.58	78059.14	80657.52	433952	0	980
2026.05.10	80653.03	82474.39	77602.41	78105.01	411117	0	980
2026.05.17	78105.15	78579.33	74156.61	76640.23	416045	0	980
2026.05.24	76659.73	78003.66	75995.82	76411.25	141810	0	980
