<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.16	36719.71	37947.15	35354.24	35991.45	17051501	0	0
2021.01.17	35990.76	36717.25	33841.73	35931.97	14054815	0	0
2021.01.18	35931.97	37425.03	34771.19	36640.32	116205	0	51
2021.01.19	36643.32	37831.63	35592.37	36307.85	181831	0	32
2021.01.20	36307.85	36387.58	33392.60	35269.70	157655	0	46
2021.01.21	35264.20	35345.12	29222.49	29481.99	167872	0	1
2021.01.22	29481.99	33828.64	28824.93	32950.10	1901674	0	0
2021.01.23	32955.30	33466.53	31393.08	32085.13	14522688	0	0
2021.01.24	32083.98	33075.38	30944.56	32563.41	10442888	0	0
2021.01.25	32563.40	34847.12	31762.21	32461.51	141501	0	0
2021.01.26	32461.51	32894.08	30806.07	32362.11	186851	0	0
2021.01.27	32356.61	32466.50	29204.36	30672.38	204226	0	0
2021.01.28	30672.37	34338.06	30362.05	34177.54	203072	0	353
2021.01.29	34177.53	38573.74	31943.02	34246.84	3041987	0	0
2021.01.30	34249.14	34904.90	32782.35	34302.97	17519210	0	0
2021.01.31	34305.56	34363.20	32187.10	32544.82	11184215	0	0
2021.02.01	32545.57	34665.30	32478.98	33742.73	174628	0	428
2021.02.02	33746.22	36209.25	33468.09	36114.35	175766	0	2485
2021.02.03	36115.35	38148.90	35533.93	38088.17	193998	0	3557
2021.02.04	38077.43	38700.12	36131.83	36994.48	202299	0	222
2021.02.05	36996.48	38310.16	36551.91	38233.71	1083315	0	0
2021.02.06	38239.40	40947.90	38155.37	39209.03	14356017	0	0
2021.02.07	39195.84	39695.38	37315.65	38714.62	13958747	0	0
2021.02.08	38714.62	47395.91	37999.46	46729.22	225492	0	154
2021.02.09	46734.72	48118.40	45050.90	46519.44	205821	0	19
2021.02.10	46519.43	47256.22	43956.00	44205.75	149565	0	0
2021.02.11	44205.75	48919.35	43967.80	47936.07	89167	0	215
2021.02.12	47936.08	48482.47	46093.61	47376.75	1831581	0	0
