<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.07	13:00:00	1913.390	1919.790	1906.770	1910.310	10462	0	50
2021.01.07	14:00:00	1909.080	1918.150	1908.670	1913.680	9310	0	50
2021.01.07	15:00:00	1913.680	1917.920	1912.180	1913.180	5418	0	50
2021.01.07	16:00:00	1913.180	1913.700	1909.160	1911.110	4145	0	50
2021.01.07	17:00:00	1911.210	1916.210	1910.400	1915.570	3803	0	50
2021.01.07	18:00:00	1915.570	1917.650	1914.310	1917.040	2729	0	50
2021.01.07	19:00:00	1917.040	1918.060	1912.870	1913.620	3459	0	50
2021.01.07	20:00:00	1913.470	1915.120	1912.750	1913.445	1160	0	0
2021.01.07	21:00:00	1913.496	1915.084	1912.678	1913.518	1621	0	0
2021.01.07	22:00:00	1916.180	1917.480	1914.810	1916.630	1358	0	50
2021.01.07	23:00:00	1916.630	1916.690	1912.780	1913.240	2329	0	50
2021.01.08	00:00:00	1913.200	1913.920	1910.490	1910.940	5466	0	50
2021.01.08	01:00:00	1910.940	1912.690	1909.870	1912.190	3537	0	50
2021.01.08	02:00:00	1912.170	1912.230	1908.560	1910.600	2667	0	50
2021.01.08	03:00:00	1910.600	1910.750	1906.500	1909.330	2091	0	50
2021.01.08	04:00:00	1909.330	1911.670	1907.270	1908.180	3490	0	50
2021.01.08	05:00:00	1908.180	1909.330	1905.960	1907.340	3335	0	50
2021.01.08	06:00:00	1907.310	1911.650	1904.440	1904.840	4509	0	50
2021.01.08	07:00:00	1904.840	1904.840	1877.570	1888.970	10462	0	50
2021.01.08	08:00:00	1888.970	1892.830	1886.420	1891.820	5769	0	50
2021.01.08	09:00:00	1891.740	1894.050	1889.860	1891.040	3651	0	50
2021.01.08	10:00:00	1891.040	1894.120	1890.140	1894.100	2857	0	50
2021.01.08	11:00:00	1894.090	1894.530	1886.590	1889.120	5510	0	50
